product_code_or_sku,orders,revenue,qty_sold,Date
NLE5UM_6150,1,24.9,10,2021-07-08
NLE5SP_5DT_SC,3,26.1,3,2021-07-08
NLE5SP_6DVL_ADC,1,26.68,1,2021-07-08
NLE5SP_6DT_F6,1,72.17,1,2021-07-08
NLE5SP_6DBK_48,1,77.4,2,2021-07-08
NLE5SP_6DP_VC,2,78.25,2,2021-07-08
NLE5SP_6DVL_AD,2,82.48,2,2021-07-08
NLE5SP_6DVL_ADT,3,55.16,3,2021-07-08
NLE5SP_6DBK_24,0,0.0,0,2021-07-08
NLE5SP_6DBK_48SS,0,0.0,0,2021-07-08
NLE5SP_6DBK_AD,0,0.0,0,2021-07-08
NLE5SP_6DBK_DS,0,0.0,0,2021-07-08
NLE5SP_6DBK_E45,0,0.0,0,2021-07-08
NLE5SP_6DBK_E90,0,0.0,0,2021-07-08
NLE5SP_5DT_SA,0,0.0,0,2021-07-08
NLE5SP_6DBK_TL,0,0.0,0,2021-07-08
NLE5SP_6DVL_E45,0,0.0,0,2021-07-08
NLE5SP_6DVL_ADWD,0,0.0,0,2021-07-08
NLE5SP_6DT_LB,0,0.0,0,2021-07-08
NLE5SP_6DT_XRS,0,0.0,0,2021-07-08
NLE5SP_8DBK_48SS,0,0.0,0,2021-07-08
NLE5SP_6DP_36SSCF,0,0.0,0,2021-07-08
NLE5SP_6DT_60CF,0,0.0,0,2021-07-08
NLE5SP_6DT_36SS,0,0.0,0,2021-07-08
NLE5CF_LGL,0,0.0,0,2021-07-08
NLE5SB_36048M,0,0.0,0,2021-07-09
NLE5SC_SUPERCEDAR,0,0.0,0,2021-07-09
NLE5RU_97S,0,0.0,0,2021-07-09
NLE5SA_8116,0,0.0,0,2021-07-09
NLE5SA_8115,0,0.0,0,2021-07-09
NLE5SE_6UT_48,0,0.0,0,2021-07-09
NLE5SP_8DT_VC,0,0.0,0,2021-07-09
NLE5SP_8DBK_48SS,0,0.0,0,2021-07-09
NLE5SP_6DP_XRB,1,107.72,1,2021-07-09
NLE5SB_36072M,1,102.9,5,2021-07-09
NLE5SP_6DBK_TL,1,80.13,1,2021-07-09
NLE5SP_6DT_VC,2,79.06,2,2021-07-09
NLE5SP_6DP_VC,1,78.25,1,2021-07-09
NLE5SP_6DT_48SS,2,681.99,3,2021-07-09
NLE5SP_6DT_36SS,1,224.08,1,2021-07-09
NLE5SP_6DVL_68TA,1,209.28,1,2021-07-09
NLE5CF_LGL,1,139.99,1,2021-07-09
ROUTEINS,57,139.06,57,2021-07-09
NLE5SP_6DT_CS11,2,136.82,2,2021-07-09
NLE5SP_6DBK_24,1,45.92,2,2021-07-09
NLE5SP_6DBK_48,1,38.7,1,2021-07-09
NLE5SP_6DP_SC,1,12.94,1,2021-07-09
NLE5SP_6DVL_ADWD,0,0.0,0,2021-07-09
NLE5SP_6DVL_ADT,0,0.0,0,2021-07-09
NLE5SP_6DVL_ADC,0,0.0,0,2021-07-09
NLE5SP_6DVL_AD,0,0.0,0,2021-07-09
NLE5SP_6DVL_48,0,0.0,0,2021-07-09
NLE5SP_6DVL_46TA,0,0.0,0,2021-07-09
NLE5SP_6DT_XRS,0,0.0,0,2021-07-09
NLE5SP_6DT_LB,0,0.0,0,2021-07-09
NLE5SP_6DT_FC,0,0.0,0,2021-07-09
NLE5SP_6DT_F6,1,0.0,1,2021-07-09
NLE5SP_6DP_36SSCF,0,0.0,0,2021-07-09
NLE5SP_6DBK_AD,0,0.0,0,2021-07-09
NLE5SP_6DBK_48SS,0,0.0,0,2021-07-09
NLE5SP_6DBK_DS,0,0.0,0,2021-07-09
NLE5SP_5DT_SC,1,0.0,1,2021-07-09
NLE5SP_5DT_SA,0,0.0,0,2021-07-09
NLE5SP_6DBK_E45,0,0.0,0,2021-07-09
NLE5SP_6DBK_E90,0,0.0,0,2021-07-09
NLE5SP_6DVL_E45,0,0.0,0,2021-07-09
NLE5UM_6150,0,0.0,0,2021-07-09
NLE5AS_335CL_C24,0,0.0,0,2021-07-09
NLE5CO_55300_20,0,0.0,0,2021-07-09
NLE5SC_SUPERCEDAR,0,0.0,0,2021-07-10
NLE5SA_8116,0,0.0,0,2021-07-10
NLE5RU_97S,0,0.0,0,2021-07-10
NLE5SA_8115,0,0.0,0,2021-07-10
NLE5SE_6UT_48,0,0.0,0,2021-07-10
NLE5IM_BM0110,0,0.0,0,2021-07-10
NLE5SP_6DVL_48,0,0.0,0,2021-07-10
NLE5SP_8DT_VC,0,0.0,0,2021-07-10
NLE5SP_8DBK_48SS,0,0.0,0,2021-07-10
NLE5SP_6DVL_E45,0,0.0,0,2021-07-10
NLE5SP_6DVL_ADWD,0,0.0,0,2021-07-10
NLE5SP_6DVL_ADT,0,0.0,0,2021-07-10
NLE5SP_6DVL_ADC,1,0.0,1,2021-07-10
NLE5SP_6DVL_AD,0,0.0,0,2021-07-10
NLE5SP_6DVL_68TA,0,0.0,0,2021-07-10
NLE5SP_6DVL_46TA,0,0.0,0,2021-07-10
NLE5SP_6DT_XRS,0,0.0,0,2021-07-10
NLE5SP_6DBK_DS,3,101.25,3,2021-07-10
NLE5SP_6DT_FC,2,84.2,2,2021-07-10
NLE5SP_6DBK_TL,1,80.13,1,2021-07-10
NLE5SP_6DT_F6,1,72.17,1,2021-07-10
NLE5SP_6DT_LB,1,56.65,5,2021-07-10
ROUTEINS,56,120.95,56,2021-07-10
NLE5SP_6DT_48SS,2,909.32,4,2021-07-10
NLE5SB_36072M,1,41.16,2,2021-07-10
NLE5SP_6DT_VC,2,158.12,2,2021-07-10
NLE5CF_LGL,1,139.99,1,2021-07-10
NLE5SP_6DBK_48,1,193.5,5,2021-07-10
NLE5SP_6DBK_E90,1,25.97,1,2021-07-10
